"GEO_ID","NAME","B19013_001E","B19013_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Race/Ethnic Group","Population Groups",
"1400000US36005017702","Census Tract 177.02; Bronx County; New York","23485","4504","001","Total population",
"1400000US36005017901","Census Tract 179.01; Bronx County; New York","21376","4131","001","Total population",
"1400000US36005017902","Census Tract 179.02; Bronx County; New York","20852","10152","001","Total population",
"1400000US36005018101","Census Tract 181.01; Bronx County; New York","27371","3090","001","Total population",
"1400000US36005018102","Census Tract 181.02; Bronx County; New York","38250","3785","001","Total population",
"1400000US36005018301","Census Tract 183.01; Bronx County; New York","29987","2690","001","Total population",
"1400000US36005018302","Census Tract 183.02; Bronx County; New York","31324","5646","001","Total population",
"1400000US36005018400","Census Tract 184; Bronx County; New York","60518","13541","001","Total population",
"1400000US36005018500","Census Tract 185, Bronx County, New York","26496","7896","001","Total population",
"1400000US36005018900","Census Tract 189; Bronx County; New York","21180","4212","001","Total population",
"1400000US36005019300","Census Tract 193; Bronx County; New York","23267","5349","001","Total population",
"1400000US36005019400","Census Tract 194; Bronx County; New York","51176","14195","001","Total population",
"1400000US36005019500","Census Tract 195; Bronx County; New York","26706","3344","001","Total population",
"1400000US36005019700","Census Tract 197; Bronx County; New York","25875","5225","001","Total population",
"1400000US36005019900","Census Tract 199; Bronx County; New York","24914","3073","001","Total population",
"1400000US36005020000","Census Tract 200; Bronx County; New York","44771","6435","001","Total population",
"1400000US36005020100","Census Tract 201; Bronx County; New York","24160","9036","001","Total population",
"1400000US36005020200","Census Tract 202; Bronx County; New York","38487","8620","001","Total population",
"1400000US36005020400","Census Tract 204; Bronx County; New York","49519","8281","001","Total population",
"1400000US36005020501","Census Tract 205.01; Bronx County; New York","23160","6160","001","Total population",
"1400000US36005020502","Census Tract 205.02; Bronx County; New York","15343","4243","001","Total population",
"1400000US36005020601","Census Tract 206.01; Bronx County; New York","76429","22078","001","Total population",
"1400000US36005020900","Census Tract 209; Bronx County; New York","27311","7922","001","Total population",
"1400000US36005021001","Census Tract 210.01; Bronx County; New York","48396","3518","001","Total population",
"1400000US36005021002","Census Tract 210.02; Bronx County; New York","43313","7572","001","Total population",
"1400000US36005021100","Census Tract 211; Bronx County; New York","23724","4729","001","Total population",
"1400000US36005021200","Census Tract 212; Bronx County; New York","51443","3590","001","Total population",
"1400000US36005021301","Census Tract 213.01; Bronx County; New York","16378","7085","001","Total population",
"1400000US36005021302","Census Tract 213.02; Bronx County; New York","30362","6916","001","Total population",
"1400000US36005021501","Census Tract 215.01; Bronx County; New York","26076","4615","001","Total population",
"1400000US36005021502","Census Tract 215.02; Bronx County; New York","18507","3701","001","Total population",
"1400000US36005021601","Census Tract 216.01; Bronx County; New York","25847","5933","001","Total population",
"1400000US36005021602","Census Tract 216.02; Bronx County; New York","41487","5816","001","Total population",
"1400000US36005021700","Census Tract 217; Bronx County; New York","22721","5837","001","Total population",
"1400000US36005021800","Census Tract 218; Bronx County; New York","37303","12102","001","Total population",
"1400000US36005021900","Census Tract 219; Bronx County; New York","31292","8449","001","Total population",
"1400000US36005022000","Census Tract 220; Bronx County; New York","23167","5153","001","Total population",
"1400000US36005022101","Census Tract 221.01; Bronx County; New York","25870","4641","001","Total population",
"1400000US36005022102","Census Tract 221.02; Bronx County; New York","18664","2947","001","Total population",
"1400000US36005022200","Census Tract 222; Bronx County; New York","40331","11229","001","Total population",
"1400000US36005022300","Census Tract 223; Bronx County; New York","24277","2983","001","Total population",
"1400000US36005022401","Census Tract 224.01; Bronx County; New York","43611","7539","001","Total population",
"1400000US36005022403","Census Tract 224.03; Bronx County; New York","38333","9373","001","Total population",
"1400000US36005022404","Census Tract 224.04; Bronx County; New York","42070","8585","001","Total population",
"1400000US36005022500","Census Tract 225; Bronx County; New York","29302","3871","001","Total population",
"1400000US36005022701","Census Tract 227.01; Bronx County; New York","29426","3444","001","Total population",
