,GEOID,B19013_001E
674,360050273004,49003
675,360050274011,53594
676,360050274012,155050
677,360050274013,113924
678,360050274014,123295
679,360050274020,-
680,360050274021,100286
681,360050274022,-
682,360050274023,153571
683,360050276000,-
684,360050276001,-
685,360050277001,-
686,360050277002,58984
687,360050277003,-
688,360050277004,23765
689,360050279001,97955
690,360050279002,132615
691,360050279003,41536
692,360050279004,51533
693,360050279005,47079
694,360050279006,55375
695,360050281001,81382
696,360050281002,57500
697,360050281003,57596
698,360050283001,13313
699,360050283002,-
700,360050284001,-
701,360050285001,81172
702,360050285002,-
703,360050285003,42596
704,360050285004,80155
705,360050286001,87917
706,360050286002,88750
707,360050287001,93125
708,360050287002,-
709,360050287003,46146
710,360050288001,75417
711,360050288002,89050
712,360050288003,85469
713,360050288004,91473
714,360050289001,21923
715,360050289002,43966
716,360050289003,94191
717,360050289004,55907
718,360050293010,-
719,360050293011,156786
720,360050293012,100125
721,360050293021,150732
722,360050293022,89833
723,360050293023,126861
724,360050293024,112557
725,360050295001,76677
726,360050295002,102200
727,360050295003,87976
728,360050295004,105774
729,360050296001,55116
730,360050296002,107647
731,360050297001,86406
732,360050297002,112386
733,360050297003,84904
734,360050300001,124816
735,360050300002,170914
736,360050300003,85219
737,360050300004,91779
738,360050300005,84453
739,360050300006,-
740,360050301001,96033
741,360050301002,26563
742,360050302011,79041
743,360050302012,33750
744,360050302013,63389
745,360050302021,75127
746,360050302022,-
747,360050302023,59150
748,360050302024,27500
749,360050307011,150066
750,360050307012,139612
751,360050307013,80625
752,360050307014,134825
753,360050309000,-
754,360050309001,47604
755,360050309002,"250,000+"
756,360050309003,-
757,360050309004,141853
758,360050310001,138315
759,360050310002,121650
760,360050310003,112902
761,360050312001,107115
762,360050312002,123304
763,360050314001,117045
764,360050314002,107969
765,360050316001,83542
766,360050316002,97692
767,360050318001,90795
768,360050318002,92105
769,360050319000,-
770,360050319001,-
771,360050323001,97423
772,360050323002,124236
773,360050323003,69327
774,360050323004,87898
775,360050323005,-
776,360050324001,40625
777,360050324002,-
778,360050326001,77024
779,360050326002,114821
780,360050326003,110875
781,360050328001,42351
782,360050328002,29261
783,360050328003,59375
784,360050328004,61107
785,360050330001,-
786,360050330002,48958
787,360050330003,57128
788,360050330004,-
789,360050332011,36818
790,360050332012,62188
791,360050332013,-
792,360050332021,57576
793,360050332022,41116
794,360050332023,45359
795,360050332024,-
796,360050334001,-
797,360050335001,"250,000+"
798,360050335002,96964
799,360050335003,104292
800,360050336011,55225
801,360050336012,15708
802,360050336013,48906
803,360050336014,15755
804,360050336021,58947
805,360050337001,78167
806,360050337002,"250,000+"
807,360050337003,145179
808,360050338011,67988
809,360050338012,86141
810,360050338021,69960
811,360050340001,62734
812,360050340002,46076
813,360050340003,58482
814,360050340004,100658
815,360050342001,67500
816,360050342002,94583
817,360050343001,105972
818,360050343002,82000
819,360050344001,90938
820,360050344002,65592
821,360050345001,91250
822,360050345002,138036
823,360050345003,119200
824,360050348001,110182
825,360050348002,25184
826,360050348003,153590
827,360050348004,-
828,360050350001,91875
829,360050350002,68343
830,360050351001,138750
831,360050351002,87031
832,360050351003,110609
833,360050356001,75357
834,360050356002,130816
835,360050358001,-
836,360050358002,88958
837,360050358003,124519
838,360050358004,81250
839,360050358005,84250
840,360050358006,156250
841,360050358007,-
842,360050359001,24823
843,360050360001,89861
844,360050360002,82097
845,360050360003,141042
846,360050361001,28958
847,360050361002,31486
848,360050361003,20389
849,360050361004,-
850,360050361005,21933
851,360050363001,80205
852,360050363002,-
853,360050363003,-
854,360050363004,-
855,360050363005,22304
856,360050363006,-
857,360050364001,75216
858,360050364002,48816
859,360050364003,94688
860,360050365011,36576
861,360050365012,42444
862,360050365013,42702
863,360050365021,37386
864,360050365022,30814
865,360050367001,101250
866,360050367002,19620
867,360050368001,-
868,360050368002,78182
869,360050369011,16625
870,360050369012,33986
871,360050369021,12232
872,360050369022,30125
873,360050370001,97174
874,360050370002,84196
875,360050370003,76094
876,360050371001,-
877,360050371002,-
878,360050371003,12272
879,360050371004,59896
880,360050372001,69135
881,360050372002,66875
882,360050373001,73277
883,360050373002,68107
884,360050373003,9024
885,360050373004,-
886,360050374001,65048
887,360050374002,35407
888,360050374003,-
889,360050374004,31354
890,360050375041,26319
891,360050375042,16581
892,360050375043,41720
893,360050376001,44597
894,360050376002,93438
895,360050378001,62556
896,360050378002,66198
897,360050378003,24107
898,360050379001,-
899,360050379002,46606
900,360050379003,29423
901,360050379004,38500
902,360050379005,24893
903,360050380001,72893
904,360050380002,-
905,360050380003,21591
906,360050380004,36534
907,360050381001,73297
908,360050381002,35549
909,360050381003,44097
910,360050381004,77783
911,360050381005,53656
912,360050381006,29032
913,360050382001,83750
914,360050382002,51176
915,360050383011,92625
916,360050383012,41439
917,360050383013,50216
918,360050383031,26603
919,360050383032,27375
920,360050383041,20625
921,360050385001,-
922,360050385002,89773
923,360050385003,24265
924,360050385004,16295
925,360050386001,-
926,360050386002,63641
927,360050386003,60712
928,360050386004,117649
929,360050386005,136225
930,360050386006,68322
931,360050386007,-
932,360050386008,"2,500-"
933,360050387001,38523
934,360050387002,60088
935,360050387003,41364
936,360050388001,61103
937,360050388002,64167
